condition,class,support,precision,recall,f1
Baseline,Flat_Wall,380,0.3893,0.3053,0.3422
Baseline,Ascending_Stairs,330,0.3546,0.6727,0.4644
Baseline,Descending_Stairs,350,0.6699,0.4,0.5009
Baseline,Low_Obstacle,440,0.7193,0.6,0.6543
Baseline,MACRO_AVG,1500,0.5333,0.4945,0.4904
PTQ,Flat_Wall,380,0.5166,0.4105,0.4575
PTQ,Ascending_Stairs,330,0.3372,0.6212,0.4371
PTQ,Descending_Stairs,350,0.6763,0.4,0.5027
PTQ,Low_Obstacle,440,0.6893,0.6,0.6416
PTQ,MACRO_AVG,1500,0.5548,0.5079,0.5097
FAT,Flat_Wall,380,1.0,0.1658,0.2844
FAT,Ascending_Stairs,330,0.7114,0.6424,0.6752
FAT,Descending_Stairs,350,0.6931,1.0,0.8187
FAT,Low_Obstacle,440,0.694,1.0,0.8194
FAT,MACRO_AVG,1500,0.7746,0.7021,0.6494
FAT+QAT,Flat_Wall,380,1.0,0.1974,0.3297
FAT+QAT,Ascending_Stairs,330,0.59,0.6061,0.5979
FAT+QAT,Descending_Stairs,350,0.7014,1.0,0.8245
FAT+QAT,Low_Obstacle,440,0.7496,1.0,0.8569
FAT+QAT,MACRO_AVG,1500,0.7602,0.7009,0.6522
