condition,seed,accuracy
Baseline,0,0.6266666666666667
Baseline,1,0.22
Baseline,2,0.45666666666666667
Baseline,3,0.7466666666666667
Baseline,4,0.42333333333333334
PTQ,0,0.57
PTQ,1,0.22
PTQ,2,0.4666666666666667
PTQ,3,0.7466666666666667
PTQ,4,0.5466666666666666
FAT,0,0.5266666666666666
FAT,1,0.7533333333333333
FAT,2,0.7766666666666666
FAT,3,0.7466666666666667
FAT,4,0.7466666666666667
QAT,0,0.5266666666666666
QAT,1,0.7466666666666667
QAT,2,0.78
QAT,3,0.75
QAT,4,0.7466666666666667
