condition,seed,saf_rate,accuracy
Baseline,0,0.0,1.0
Baseline,0,0.05,0.7066666666666667
Baseline,0,0.1,1.0
Baseline,0,0.15,0.7633333333333333
Baseline,0,0.2,0.47333333333333333
Baseline,0,0.25,0.47333333333333333
Baseline,0,0.3,0.6266666666666667
Baseline,0,0.35,0.5466666666666666
Baseline,0,0.4,0.5466666666666666
Baseline,1,0.0,1.0
Baseline,1,0.05,0.51
Baseline,1,0.1,0.29333333333333333
Baseline,1,0.15,0.29333333333333333
Baseline,1,0.2,0.0
Baseline,1,0.25,0.22
Baseline,1,0.3,0.22
Baseline,1,0.35,0.22
Baseline,1,0.4,0.28
Baseline,2,0.0,1.0
Baseline,2,0.05,1.0
Baseline,2,0.1,1.0
Baseline,2,0.15,0.71
Baseline,2,0.2,0.7066666666666667
Baseline,2,0.25,0.6966666666666667
Baseline,2,0.3,0.45666666666666667
Baseline,2,0.35,0.47333333333333333
Baseline,2,0.4,0.29333333333333333
Baseline,3,0.0,1.0
Baseline,3,0.05,1.0
Baseline,3,0.1,0.7666666666666667
Baseline,3,0.15,0.7666666666666667
Baseline,3,0.2,0.7033333333333334
Baseline,3,0.25,0.5133333333333333
Baseline,3,0.3,0.7466666666666667
Baseline,3,0.35,0.5566666666666666
Baseline,3,0.4,0.6433333333333333
Baseline,4,0.0,1.0
Baseline,4,0.05,1.0
Baseline,4,0.1,0.8733333333333333
Baseline,4,0.15,0.5466666666666666
Baseline,4,0.2,0.55
Baseline,4,0.25,0.5466666666666666
Baseline,4,0.3,0.42333333333333334
Baseline,4,0.35,0.29333333333333333
Baseline,4,0.4,0.22
PTQ,0,0.0,1.0
PTQ,0,0.05,0.7066666666666667
PTQ,0,0.1,1.0
PTQ,0,0.15,0.7333333333333333
PTQ,0,0.2,0.47333333333333333
PTQ,0,0.25,0.47333333333333333
PTQ,0,0.3,0.57
PTQ,0,0.35,0.5466666666666666
PTQ,0,0.4,0.5366666666666666
PTQ,1,0.0,1.0
PTQ,1,0.05,0.67
PTQ,1,0.1,0.29333333333333333
PTQ,1,0.15,0.29333333333333333
PTQ,1,0.2,0.0
PTQ,1,0.25,0.22
PTQ,1,0.3,0.22
PTQ,1,0.35,0.22
PTQ,1,0.4,0.29
