condition,saf_rate_pct,n_runs,mean_accuracy_pct,sample_sd_accuracy_pct
Baseline,0,5,100.0,0.0
Baseline,5,5,84.3,22.6
Baseline,10,5,78.7,29.3
Baseline,15,5,61.6,20.1
Baseline,20,5,48.7,29.0
Baseline,25,5,49.0,17.3
Baseline,30,5,49.5,20.2
Baseline,35,5,41.8,15.3
Baseline,40,5,39.7,18.6
PTQ,0,5,100.0,0.0
PTQ,5,5,87.3,16.9
PTQ,10,5,73.3,30.3
PTQ,15,5,65.4,24.3
PTQ,20,5,49.9,30.3
PTQ,25,5,45.7,15.2
PTQ,30,5,51.0,19.2
PTQ,35,5,39.2,14.3
PTQ,40,5,37.3,14.8
FAT,0,5,86.0,11.0
FAT,5,5,100.0,0.0
FAT,10,5,95.6,9.8
FAT,15,5,82.2,10.1
FAT,20,5,80.8,14.9
FAT,25,5,84.4,12.6
FAT,30,5,71.0,10.3
FAT,35,5,65.1,17.5
FAT,40,5,51.9,21.5
QAT,0,5,87.1,8.9
QAT,5,5,100.0,0.0
QAT,10,5,95.5,9.8
QAT,15,5,79.7,12.4
QAT,20,5,86.7,13.8
QAT,25,5,75.8,22.9
QAT,30,5,71.0,10.3
QAT,35,5,59.8,19.0
QAT,40,5,48.8,17.9
